Invoice ID,Branch,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Payment,Gross Income
 INV1000 ,A,Normal,Female,Food and beverages ,63.45,4.0,13.38,253.8,2024-04-01, Credit card,32.26
INV1001,B,Normal,Male,Fashion accessories,43.23,3.0,8.0,129.69,2024-04-01, Credit card,46.34
INV1002,C,Member,Female,Home and lifestyle,50.88,2.4655172413793105,17.42,125.44551724137932,2024-04-01, Credit card,21.3
INV1003,B,Member,Female,Food and beverages ,59.37,1.0,9.99,59.37,2024-01-02,Ewallet ,37.66
INV1004,B,Member,Female,Fashion accessories,59.4,2.4655172413793105,19.4,146.45172413793105,2024-03-01,Ewallet ,45.25
 INV1005 ,B,Member,Male, Electronic accessories ,28.16,1.0,4.52,28.16,2024-01-02, Credit card,25.52
INV1006,C,Normal,Female,Home and lifestyle,71.61,2.0,17.5,143.22,2024-03-01,Ewallet ,24.96
INV1007,C,Normal,Female,Food and beverages ,17.91,1.0,15.76,17.91,2024-01-01,Cash,32.1
INV1008,C,Normal,Female,Health & Beauty,22.49,4.0,15.65,89.96,2024-04-01,Cash,31.61
INV1009,B,Normal,Female, Electronic accessories ,10.24,3.0,17.05,30.72,2024-01-02, Credit card,28.889285714285716
 INV1010 ,A,Normal,Male, Electronic accessories ,20.5,2.0,15.46,41.0,2024-03-01,Cash,26.44
INV1011,C,Normal,Female,Fashion accessories,52.58,1.0,12.9,52.58,2024-01-01, Credit card,28.889285714285716
INV1012,C,Member,Male, Electronic accessories ,64.55,2.4655172413793105,3.49,159.1491379310345,2024-01-01, Credit card,7.68
INV1013,B,Normal,Male,Home and lifestyle,81.49,2.0,1.62,162.98,2024-04-01,Cash,5.14
INV1014,B,Member,Male,Food and beverages ,19.6,2.0,18.5,39.2,2024-03-01,Ewallet ,33.81
 INV1015 ,A,Member,Male,Food and beverages ,86.57,1.0,12.72,86.57,2024-01-02,Cash,18.43
INV1016,C,Normal,Male,Health & Beauty,77.14,2.0,16.13,154.28,2024-04-01,Cash,15.82
INV1017,C,Member,Male,Fashion accessories,46.77,2.4655172413793105,10.15,115.31224137931036,2024-01-02, Credit card,19.04
INV1018,B,Normal,Female,Health & Beauty,93.96,2.0,3.23,187.92,2024-01-01, Credit card,16.52
INV1019,A,Member,Male, Electronic accessories ,99.18,2.4655172413793105,3.38,244.53000000000003,2024-01-02, Credit card,6.39
 INV1020 ,B,Normal,Male,Health & Beauty,28.45,1.0,14.03,28.45,2024-01-02, Credit card,48.72
INV1021,A,Member,Male,Home and lifestyle,44.13,3.0,9.18,132.39000000000001,2024-04-01,Ewallet ,14.93
INV1022,A,Normal,Female,Food and beverages ,93.38,2.0,4.81,186.76,2024-01-02,Ewallet ,38.03
INV1023,B,Normal,Female, Electronic accessories ,74.94,3.0,10.34,224.82,2024-04-01,Ewallet ,39.32
INV1024,C,Normal,Male,Health & Beauty,14.33,2.4655172413793105,2.22,35.33086206896552,2024-01-01, Credit card,46.82
 INV1025 ,B,Normal,Female,Fashion accessories,80.34,2.0,12.06,160.68,2024-04-01, Credit card,6.37
INV1026,A,Normal,Male,Home and lifestyle,84.51,4.0,6.11,338.04,2024-04-01, Credit card,44.24
INV1027,A,Member,Male,Home and lifestyle,77.55,3.0,16.15,232.64999999999998,2024-03-01,Ewallet ,28.73
INV1028,A,Member,Female,Health & Beauty,81.96,2.0,6.9,163.92,2024-01-02, Credit card,28.889285714285716
INV1029,C,Member,Male,Food and beverages ,84.26,3.0,9.65,252.78000000000003,2024-01-01,Cash,34.0
 INV1030 ,C,Normal,Female,Health & Beauty,26.78,2.0,1.22,53.56,2024-04-01,Cash,28.889285714285716
INV1031,B,Member,Female, Electronic accessories ,31.21,1.0,2.38,31.21,2024-01-01, Credit card,20.0
INV1032,A,Normal,Male,Health & Beauty,67.04,3.0,8.46,201.12,2024-03-01,Cash,37.99
INV1033,A,Normal,Male,Home and lifestyle,91.71,4.0,10.12,366.84,2024-01-02,Cash,28.79
INV1034,C,Member,Female,Health & Beauty,38.46,4.0,12.4,153.84,2024-04-01,Ewallet ,28.889285714285716
 INV1035 ,C,Member,Male,Food and beverages ,62.95,2.4655172413793105,6.54,155.2043103448276,2024-01-02, Credit card,49.57
INV1036,C,Normal,Male,Fashion accessories,71.47,2.0,14.2,142.94,2024-03-01, Credit card,14.03
INV1037,C,Member,Male,Sports and travel,50.68,3.0,17.34,152.04,2024-03-01,Ewallet ,49.76
INV1038,A,Normal,Female,Health & Beauty,74.24,2.4655172413793105,15.82,183.04,2024-01-01,Cash,28.889285714285716
INV1039,A,Normal,Female,Food and beverages ,90.97,3.0,1.75,272.90999999999997,2024-04-01,Cash,5.1
 INV1040 ,A,Normal,Male,Food and beverages ,66.17,2.0,10.13,132.34,2024-01-01, Credit card,6.99
INV1041,C,Normal,Female,Fashion accessories,58.58,4.0,2.99,234.32,2024-03-01,Cash,20.38
INV1042,B,Normal,Female,Home and lifestyle,49.49,1.0,5.6,49.49,2024-01-02,Ewallet ,33.48
INV1043,C,Member,Female,Food and beverages ,61.97,4.0,19.75,247.88,2024-01-01,Ewallet ,8.11
INV1044,B,Member,Female,Food and beverages ,41.98,2.4655172413793105,3.71,103.50241379310344,2024-01-01, Credit card,5.25
 INV1045 ,A,Normal,Female,Food and beverages ,45.23,1.0,10.48,45.23,2024-01-02,Ewallet ,47.17
INV1046,B,Normal,Male,Food and beverages ,57.87,2.4655172413793105,12.74,142.67948275862068,2024-01-01,Ewallet ,41.99
INV1047,A,Member,Male, Electronic accessories ,16.0,2.0,14.35,32.0,2024-01-02, Credit card,41.41
INV1048,A,Member,Male, Electronic accessories ,30.61,1.0,11.63,30.61,2024-04-01,Ewallet ,44.8
INV1049,A,Normal,Female,Home and lifestyle,58.86,2.4655172413793105,1.19,145.12034482758622,2024-01-02,Ewallet ,36.5
 INV1050 ,C,Member,Female,Health & Beauty,48.84,2.0,7.2,97.68,2024-04-01,Ewallet ,9.7
INV1051,B,Normal,Male,Food and beverages ,39.95,4.0,10.84,159.8,2024-01-02,Cash,22.96
INV1052,B,Member,Female,Fashion accessories,75.75,2.0,2.67,151.5,2024-03-01, Credit card,37.54
INV1053,A,Normal,Male,Health & Beauty,72.43,3.0,7.66,217.29000000000002,2024-03-01, Credit card,17.62
INV1054,B,Member,Male,Fashion accessories,25.01,2.0,1.63,50.02,2024-04-01, Credit card,35.93
 INV1055 ,B,Normal,Male,Health & Beauty,89.08,2.0,2.49,178.16,2024-04-01,Cash,6.1
INV1056,B,Member,Female,Home and lifestyle,54.59,3.0,8.54,163.77,2024-03-01,Cash,18.78
INV1057,A,Member,Female,Food and beverages ,76.73,2.4655172413793105,3.52,189.17913793103452,2024-04-01, Credit card,29.71
INV1058,A,Normal,Male,Food and beverages ,61.58,2.4655172413793105,11.78,151.82655172413794,2024-01-02,Cash,28.889285714285716
INV1059,A,Member,Male,Sports and travel,99.79,2.0,14.1,199.58,2024-01-02, Credit card,30.97
 INV1060 ,A,Normal,Male,Fashion accessories,77.72,3.0,16.21,233.16,2024-03-01,Cash,28.889285714285716
INV1061,B,Member,Male,Health & Beauty,73.63,3.0,4.8,220.89,2024-01-01,Ewallet ,5.27
INV1062,C,Normal,Female,Health & Beauty,80.07,4.0,4.18,320.28,2024-01-02,Ewallet ,28.889285714285716
INV1063,C,Member,Female, Electronic accessories ,22.88,2.4655172413793105,2.99,56.41103448275862,2024-04-01, Credit card,44.1
INV1064,A,Normal,Male,Sports and travel,28.41,1.0,13.09,28.41,2024-01-01,Cash,28.889285714285716
 INV1065 ,A,Member,Male, Electronic accessories ,74.27,2.4655172413793105,14.42,183.11396551724138,2024-01-01,Cash,10.08
INV1066,B,Normal,Female, Electronic accessories ,54.46,2.4655172413793105,1.6,134.27206896551726,2024-01-02,Ewallet ,42.89
INV1067,A,Member,Female, Electronic accessories ,77.92,4.0,18.79,311.68,2024-01-02,Ewallet ,15.9
INV1068,B,Normal,Male,Fashion accessories,19.26,1.0,1.99,19.26,2024-01-01,Cash,26.52
INV1069,C,Normal,Male,Fashion accessories,58.28,4.0,11.28,233.12,2024-01-01,Cash,11.53
 INV1070 ,C,Normal,Male,Home and lifestyle,44.09,1.0,14.47,44.09,2024-03-01,Cash,36.95
INV1071,C,Member,Female,Home and lifestyle,51.13,2.0,17.55,102.26,2024-04-01,Cash,35.01
INV1072,B,Normal,Female, Electronic accessories ,64.36,1.0,14.57,64.36,2024-03-01,Cash,14.5
INV1073,A,Member,Female,Sports and travel,55.21,4.0,16.23,220.84,2024-01-02,Cash,43.85
INV1074,C,Normal,Male,Health & Beauty,58.59,2.4655172413793105,7.45,144.45465517241382,2024-03-01, Credit card,23.06
